q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
A49,withdrawn,1999-02-03,,1999-09-10 00:00:00,,PJM,,,PPL,bergen,,,NJ,PJM,Capacity,West Hempfield 230kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,750.0,,
A48,withdrawn,1999-02-03,,2001-10-03 00:00:00,,PJM,,,PENELEC,union,,,NJ,PJM,Capacity,East Towanda 230kV,,System Impact Study,System Impact Study,Gas,Gas,,,750.0,,
A51,withdrawn,1999-02-03,,2001-11-26 00:00:00,,PJM,,,PSEG,camden,,,NJ,PJM,Capacity,Camden,,System Impact Study,System Impact Study,Gas,Gas,,,258.0,,
A50,withdrawn,1999-02-03,,2005-12-01 00:00:00,,PJM,,,PSEG,hudson,,,NJ,PJM,Energy,Bayonne,,System Impact Study,System Impact Study,Gas,Gas,,,60.0,,
A54,withdrawn,1999-02-09,,2002-06-01 00:00:00,,PJM,,,ME,dauphin,,,PA,PJM,Capacity,TMI 230 kV,,Feasibility Study,Feasibility Study,Nuclear,Nuclear,,,45.0,,
A55,operational,1999-02-22,2001-12-17,,2005-12-31 00:00:00,PJM,Lakewood NUG,,JCPL,ocean,,,NJ,PJM,Capacity,Lakewood 230kV,,IA Executed,IA Executed,Gas,Gas,,,500.0,,
A57,withdrawn,1999-03-08,,2000-07-27 00:00:00,,PJM,Unit 1,,AEC,dauphin,,,PA,PJM,Capacity,Edgemoor,,System Impact Study,System Impact Study,Gas,Gas,,,30.0,,
A56,withdrawn,1999-03-08,,1999-08-17 00:00:00,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Pedricktown 230kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,500.0,,
A58,withdrawn,1999-03-29,,1999-08-28 00:00:00,,PJM,,,PEPCO,prince george's,,,MD,PJM,Capacity,Hawkins Gate / Oak Grove 230kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,450.0,,
A61,withdrawn,1999-03-30,,,,PJM,,,PEPCO,new castle,,,DE,PJM,Capacity,Hawkins Gate / Oak Grove 230kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,450.0,,
A59,operational,1999-04-01,,,2004-05-27 00:00:00,PJM,Ford Mill,,PECO,bucks,,,PA,PJM,Capacity,Emilie,,IA Executed,IA Executed,Gas,Gas,,,540.0,,
A60,withdrawn,1999-04-08,,,,PJM,,,ME,adams,,,PA,PJM,Capacity,Hunterstown 500 kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,679.0,,
B01,withdrawn,1999-04-29,,2002-07-22 00:00:00,,PJM,,,PEPCO,montgomery,,,MD,PJM,Capacity,Dickerson,,Facility Study,Facility Study,Gas,Gas,,,398.0,,
B02,operational,1999-04-30,2001-04-06,,2001-03-17 00:00:00,PJM,Morgantown Units 1 & 2,,PEPCO,charles,,,MD,PJM,Capacity,Morgantown,,IA Executed,IA Executed,Gas,Gas,,,80.0,,
A47,withdrawn,1999-04-30,,1999-08-30 00:00:00,,PJM,,,BGE,harford,,,MD,PJM,Capacity,Perryman 230kV or 115kV,,Withdrawn,Withdrawn,Gas,Gas,,,740.0,,
B03,operational,1999-04-30,,,2003-01-28 00:00:00,PJM,Bethlehem,,PPL,northampton,,,PA,PJM,Capacity,Hosensack 500kV,,IA Executed,IA Executed,Gas,Gas,,,750.0,,
B05,operational,1999-04-30,,,2002-01-01 00:00:00,PJM,,,PENELEC,indiana,,,PA,PJM,Capacity,Wayne-Homer City 345kV,,IA Executed,IA Executed,Gas,Gas,,,265.0,,
B04,withdrawn,1999-04-30,,,,PJM,,,JCPL,ocean,,,NJ,PJM,Capacity,Oyster Creek,,Feasibility Study,Feasibility Study,Gas,Gas,,,800.0,,
B07,withdrawn,1999-05-10,,,,PJM,,,PENELEC,armstrong,,,PA,PJM,Capacity,Keystone 500kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,300.0,,
B06,withdrawn,1999-05-10,,,,PJM,,,PENELEC,indiana,,,PA,PJM,Capacity,Wayne-Homer City 345kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,525.0,,
B08,withdrawn,1999-06-09,,,,PJM,,,ME,berks,,,PA,PJM,Capacity,Friedensburg 69kV,,System Impact Study,System Impact Study,Gas,Gas,,,5.0,,
B10,withdrawn,1999-06-10,,,,PJM,,,PENELEC,armstrong,,,PA,PJM,Capacity,Keystone 500kV,,System Impact Study,System Impact Study,Gas,Gas,,,600.0,,
B09b,withdrawn,1999-06-10,,,,PJM,,,PSEG,burlington,,,NJ,PJM,Capacity,Burlington 138kV,,System Impact Study,System Impact Study,Gas,Gas,,,336.0,,
B09A,operational,1999-06-10,,,2000-07-22 00:00:00,PJM,Burlington,,PSEG,burlington,,,NJ,PJM,Capacity,Burlington 138kV,,IA Executed,IA Executed,Gas,Gas,,,168.0,,
B12,withdrawn,1999-06-14,,2002-06-13 00:00:00,,PJM,,,PECO,montgomery,,,PA,PJM,Capacity,Limerick 230kV,,Facility Study,Facility Study,Gas,Gas,,,500.0,,
B13,withdrawn,1999-07-02,,,,PJM,,,JCPL,ocean,,,NJ,PJM,Capacity,Lakewood 230kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,9.0,,
B14,withdrawn,1999-07-06,,1999-01-01 00:00:00,,PJM,Arnold (Green Mountain) WF,,PENELEC,somerset,,,PA,PJM,Capacity,Arnold 115kV,,IA Executed,IA Executed,Wind,Wind,,,10.0,,
B15,withdrawn,1999-07-12,,2002-10-02 00:00:00,,PJM,,,PEPCO,charles,,,MD,PJM,Capacity,Morgantown/Oak Grove 230kV,,IA Executed,IA Executed,Gas,Gas,,,550.0,,
B16,withdrawn,1999-07-12,,2002-10-02 00:00:00,,PJM,,,PEPCO,charles,,,MD,PJM,Capacity,Morgantown/Oak Grove 230kV,,IA Executed,IA Executed,Gas,Gas,,,550.0,,
B17,withdrawn,1999-07-17,,2021-01-26 00:00:00,,PJM,Statoil,,JCPL,monmouth,,,NJ,PJM,Energy,Jerseyville 34.5kV,,IA Executed,IA Executed,Gas,Gas,,,2.1,,
B18,withdrawn,1999-07-23,,,,PJM,,,PECO,chester,,,PA,PJM,Capacity,Limerick-Cromby 230kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,750.0,,
B19,operational,1999-07-30,2001-05-13,,2001-04-06 00:00:00,PJM,Middlesex Sewer,,JCPL,middlesex,,,NJ,PJM,Capacity,Melrose 34.5kV,,IA Executed,IA Executed,Gas,Gas,,,20.0,,
B20,withdrawn,1999-08-07,,2000-10-23 00:00:00,,PJM,,,PENELEC,warren,,,PA,PJM,Capacity,Elm St. 115kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,70.0,,
B21,withdrawn,1999-08-09,,2000-09-15 00:00:00,,PJM,,,ME,berks,,,PA,PJM,Capacity,South Reading 500kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,925.0,,
B22,withdrawn,1999-08-11,,,,PJM,,,BGE,baltimore city,,,MD,PJM,Capacity,Gould St. 34.5 kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,9.9,,
B23,operational,1999-08-21,,,2001-06-10 00:00:00,PJM,Northampton,,PPL,northampton,,,PA,PJM,Capacity,Siegfried/Allentown 138kV,,IA Executed,IA Executed,Coal,Coal,,,5.0,,
B23_W04,operational,1999-08-26,,,2001-12-01 00:00:00,PJM,Gans 8 & 9,,APS,fayette,,,PA,PJM,Capacity,Gans 138 kV,,System Impact Study,System Impact Study,Gas,Gas,,,88.0,,
B24,withdrawn,1999-09-07,,,,PJM,,,PEPCO,prince george's,,,MD,PJM,Capacity,Oak Grove 13.8kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,6.8,,
B25,withdrawn,1999-09-20,,2002-05-03 00:00:00,,PJM,,,PECO,chester,,,PA,PJM,Capacity,Cromby 230kV,,Facility Study,Facility Study,Gas,Gas,,,870.0,,
B26,operational,1999-09-20,2001-04-24,,2002-05-26 00:00:00,PJM,Hunlock Creek 66kV,,UGI,luzerne,,,PA,PJM,Capacity,Hunlock Creek 66kV,,IA Executed,IA Executed,Gas,Gas,,,50.0,,
B27,withdrawn,1999-11-03,,2000-11-06 00:00:00,,PJM,,,ME,northampton,,,PA,PJM,Capacity,Portland 230kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,362.0,,
B28,operational,1999-11-12,,,2003-08-27 00:00:00,PJM,Muddy Run,,PECO,york,,,PA,PJM,Capacity,Muddy Run 230kV,,IA Executed,IA Executed,Hydro,Hydro,,,160.0,,
B28_W08,operational,1999-11-12,,,2002-04-01 00:00:00,PJM,Mill Run WF,,APS,fayette,,,PA,PJM,Energy,Mill Run 25 kV,,IA Executed,IA Executed,Wind,Wind,,,15.0,,
B28_W07,operational,1999-11-12,,,2003-05-01 00:00:00,PJM,Backbone WF,,APS,tucker,,,WV,PJM,Capacity,Backbone Mountain 138 kV,,IA Executed,IA Executed,Wind,Wind,,,90.0,,
B29,withdrawn,1999-11-15,,2001-04-17 00:00:00,,PJM,,,BGE,harford,,,MD,PJM,Capacity,Perryman 230kV/115kV,,System Impact Study,System Impact Study,Gas,Gas,,,750.0,,
B30,operational,1999-11-22,,,2004-06-29 00:00:00,PJM,Ford Mill,,PECO,bucks,,,PA,PJM,Capacity,Emilie 230kV,,IA Executed,IA Executed,Gas,Gas,,,605.0,,
B31,withdrawn,1999-11-22,,2000-10-09 00:00:00,,PJM,,,PPL,lancaster,,,PA,PJM,Capacity,Brunner-West Hempfield 230kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,600.0,,
B34,operational,1999-11-23,2002-04-16,,2006-06-09 00:00:00,PJM,"Seward 1 (Hay Road 5,6,7,8)",,PENELEC,westmoreland,,,PA,PJM,Capacity,Seward 230kV,,IA Executed,IA Executed,Other,Other,,,525.0,,
B32,withdrawn,1999-11-23,,2000-12-05 00:00:00,,PJM,,,ME,dauphin,,,PA,PJM,Capacity,TMI 230kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,500.0,,
B33,withdrawn,1999-11-23,,2002-12-03 00:00:00,,PJM,,,PPL,dauphin,,,PA,PJM,Capacity,Steelton 230kV,,System Impact Study,System Impact Study,Gas,Gas,,,500.0,,
B41,withdrawn,1999-11-24,,2002-01-07 00:00:00,,PJM,,,PPL,lancaster,,,PA,PJM,Capacity,West Hempfield 138kV,,Facility Study,Facility Study,Gas,Gas,,,90.0,,
B39,withdrawn,1999-11-24,,2002-01-07 00:00:00,,PJM,,,PPL,lancaster,,,PA,PJM,Capacity,Quarryville 69kV,,System Impact Study,System Impact Study,Gas,Gas,,,90.0,,
B38,withdrawn,1999-11-24,,2002-01-07 00:00:00,,PJM,,,PPL,montgomery,,,PA,PJM,Capacity,Elroy 138kV,,Facility Study,Facility Study,Gas,Gas,,,100.0,,
B40,withdrawn,1999-11-24,,2002-01-07 00:00:00,,PJM,,,PPL,lancaster,,,PA,PJM,Capacity,West Hempfield 69kV,,Facility Study,Facility Study,Gas,Gas,,,100.0,,
B37,withdrawn,1999-11-24,,2002-04-09 00:00:00,,PJM,,,PPL,montgomery,,,PA,PJM,Capacity,East Greenville 69kV,,System Impact Study,System Impact Study,Gas,Gas,,,90.0,,
B35,withdrawn,1999-11-24,,2003-03-10 00:00:00,,PJM,West Earl,,PPL,lancaster,,,PA,PJM,Capacity,South Akron 230kV,,IA Executed,IA Executed,Gas,Gas,,,313.0,,
B36,withdrawn,1999-11-24,,2003-03-10 00:00:00,,PJM,West Earl,,PPL,lancaster,,,PA,PJM,Capacity,South Akron 230kV,,IA Executed,IA Executed,Gas,Gas,,,78.0,,
B45,withdrawn,1999-11-29,,2002-07-23 00:00:00,,PJM,,,PPL,lackawanna,,,PA,PJM,Capacity,Lackawanna 230kV,,System Impact Study,System Impact Study,Gas,Gas,,,555.0,,
B43,withdrawn,1999-11-29,,2000-11-08 00:00:00,,PJM,,,PENELEC,venango,,,PA,PJM,Capacity,Homer City-Wayne 345kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,284.0,,
B42,withdrawn,1999-11-29,,2000-11-08 00:00:00,,PJM,,,PPL,luzerne,,,PA,PJM,Capacity,Susquehanna 230kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,500.0,,
B44,withdrawn,1999-11-29,,,,PJM,,,PENELEC,elk,,,PA,PJM,Capacity,Elko-Forrest 230kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,240.0,,
B46,operational,1999-11-29,,,2003-11-21 00:00:00,PJM,Conowingo,,PECO,harford,,,MD,PJM,Capacity,Conowingo 230kV,,IA Executed,IA Executed,Hydro,Hydro,,,36.0,,
B47,operational,1999-11-29,,,2002-07-22 00:00:00,PJM,"Hay Road 5, 6, 7",,DPL,new castle,,,DE,PJM,Capacity,Red Lion 500kV,,IA Executed,IA Executed,Gas,Gas,,,0.0,,
B51,withdrawn,1999-11-30,,2001-11-19 00:00:00,,PJM,,,PENELEC,indiana,,,PA,PJM,Capacity,Wayne 345,,Feasibility Study,Feasibility Study,Gas,Gas,,,500.0,,
B52,withdrawn,1999-11-30,,2000-12-05 00:00:00,,PJM,,,PSEG,middlesex,,,NJ,PJM,Capacity,Woodbridge 138kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,550.0,,
B49,withdrawn,1999-11-30,,2001-07-31 00:00:00,,PJM,,,PENELEC,warren,,,PA,PJM,Capacity,Erie South-Warren 230kV,,System Impact Study,System Impact Study,Gas,Gas,,,500.0,,
B50,withdrawn,1999-11-30,,,,PJM,,,PPL,erie,,,PA,PJM,Capacity,Morgantown 69kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,500.0,,
B48,withdrawn,1999-11-30,,2003-10-17 00:00:00,,PJM,,,PECO,harford,,,MD,PJM,Capacity,Graceton 230kV,,Facility Study,Facility Study,Gas,Gas,,,550.0,,
C01,operational,1999-12-17,,,2006-05-01 00:00:00,PJM,"Linden 1, 2 & 3",,PSEG,union,,,NJ,PJM,Capacity,Linden 138kV,,IA Executed,IA Executed,Gas,Gas,,,436.0,,
C02,withdrawn,2000-01-06,,2007-01-01 00:00:00,,PJM,Ironwood,,ME,lebanon,,,PA,PJM,Capacity,South Lebanon 230kV,,System Impact Study,System Impact Study,Gas,Gas,,,47.0,,
C04,withdrawn,2000-01-11,,2002-01-25 00:00:00,,PJM,,,PEPCO,charles,,,MD,PJM,Capacity,Burches Hill 230kV,,System Impact Study,System Impact Study,Gas,Gas,,,550.0,,
C03,withdrawn,2000-01-11,,2002-09-16 00:00:00,,PJM,,,PEPCO,charles,,,MD,PJM,Capacity,Morgantown/Oak Grove 230kV,,Facility Study,Facility Study,Gas,Gas,,,550.0,,
C05,withdrawn,2000-01-24,,,,PJM,,,JCPL,somerset,,,NJ,PJM,Capacity,Somerset 34.5kV,,System Impact Study,System Impact Study,Other,Methane,,,3.8,,
C06,withdrawn,2000-01-26,,2001-07-06 00:00:00,,PJM,,,PPL,luzerne,,,PA,PJM,Capacity,Susquehanna 230kV**,,System Impact Study,System Impact Study,Gas,Gas,,,500.0,,
C07,operational,2000-01-31,,,2001-07-19 00:00:00,PJM,Salem 1 & 2,,PSEG,salem,,,NJ,PJM,Capacity,Salem 500kV,,IA Executed,IA Executed,Nuclear,Nuclear,,,26.0,,
C08,operational,2000-01-31,,,2001-08-01 00:00:00,PJM,Hope Creek 1,,PSEG,salem,,,NJ,PJM,Capacity,Hope Creek 500kV,,IA Executed,IA Executed,Nuclear,Nuclear,,,69.0,,
C09,withdrawn,2000-02-04,,2001-01-25 00:00:00,,PJM,,,PSEG,bergen,,,NJ,PJM,Capacity,Fairlawn 26.4kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,37.0,,
C10,withdrawn,2000-02-08,,2005-06-23 00:00:00,,PJM,Northeast Cogen,,PENELEC,erie,,,PA,PJM,Capacity,Erie East 230kV,,IA Executed,IA Executed,Gas,Gas,,,100.0,,
C11,withdrawn,2000-02-25,,2001-07-06 00:00:00,,PJM,,,PPL,juniata,,,PA,PJM,Capacity,Mifflintown 69kV,,System Impact Study,System Impact Study,Gas,Gas,,,9.9,,
C11_W11,withdrawn,2000-02-25,,,,PJM,,,APS,westmoreland,,,PA,PJM,Capacity,Hunker 138 kV,,Withdrawn,Withdrawn,Gas,Gas,,,88.0,,
C13,withdrawn,2000-03-15,,2004-06-22 00:00:00,,PJM,,,PECO,harford,,,MD,PJM,Capacity,Conastone - Peach Bottom 500kV,,Facility Study,Facility Study,Gas,Gas,,,550.0,,
C12,withdrawn,2000-03-15,,2004-06-22 00:00:00,,PJM,,,PECO,harford,,,MD,PJM,Capacity,Conastone - Peach Bottom 500kV,,Facility Study,Facility Study,Gas,Gas,,,550.0,,
