q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3,queue
13,operational,1/3/2003,10/13/2009,,8/26/2012,CAISO,LAKE HODGES PUMPED STORAGE PROJECT,,SDGE,san diego,,,CA,CAISO,,Lake Hodges Metering Switchyard 69 kV,7/1/2007,Executed,IA Executed,Battery,Battery,,,40,,,14
14,operational,1/7/2003,,,10/2/2009,CAISO,OTAY MESA,,SDGE,san diego,,,CA,CAISO,,Otay Mesa Switchyard 230 kV,,Executed,IA Executed,Gas,Gas,,,65,,,15
15,withdrawn,1/17/2003,,,,CAISO,ARGONAUT WIND PROJECT,,SCE,san bernardino,,,CA,CAISO,,Mountain Pass,9/1/2004,,Facility Study,Wind,Wind,,,50,,,16
16,withdrawn,3/11/2003,,,,CAISO,PACIFIC RENEWABLE ENERGY GENERATION LLC (FKA LOMPOC WIND POWER PROJECT),,PGAE,santa barbara,,,CA,CAISO,,Divide-Cabrillo #2 115kV line tap,6/1/2006,Executed,IA Executed,Wind,Wind,,,56,,,17
17,withdrawn,3/18/2003,,,,CAISO,SONORAN 2,,SCE,riverside,,,CA,CAISO,,Colorado River Substation 500kV bus,1/1/2006,Executed,IA Executed,Solar,Solar,,,520,,,18
18,withdrawn,4/15/2003,,,,CAISO,FAIRMONT WIND GENERATION PROJECT,,SCE,los angeles,,,CA,CAISO,,Antelope,,In Progress,Facility Study,Wind,Wind,,,200,,,19
19,operational,6/18/2003,,,9/30/2005,CAISO,KUMEYAAY/CAMPO WIND FARM,,SDGE,san diego,,,CA,CAISO,,Crestwood Substation 69 kV,,Executed,IA Executed,Wind,Wind,,,46,,,20
20,operational,9/4/2003,10/18/2010,,,CAISO,MANZANA WIND,,SCE,kern,,,CA,CAISO,,Whirlwind 220kV,,Executed,IA Executed,Other,Other,,,189,,,21
21,operational,10/23/2003,,,,CAISO,BUENA VISTA REPOWER,,PGAE,contra costa,,,CA,CAISO,,Windmaster/Buena Vista Sub,7/1/2004,Executed,IA Executed,Wind,Wind,,,38,,,22
22,active,11/18/2003,5/24/2010,,,CAISO,MONTEZUMA (HIGH WINDS III),,PGAE,solano,,,CA,CAISO,Partial Capacity,Birds Landing 230 kV,6/30/2005,Executed,IA Executed,Wind+Battery,Wind,Battery,,38,38,,23
23,operational,11/24/2003,,,10/1/2005,CAISO,MOUNTAINVIEW POWER PROJECT,,SCE,san bernardino,,,CA,CAISO,,San Bernadino 220+M127 kV,11/1/2004,Executed,IA Executed,Gas,Gas,,,72,,,24
24,operational,1/30/2004,,,1/26/2009,CAISO,SHILOH WIND FARM II,,PGAE,solano,,,CA,CAISO,,High Winds/Contra Costa PP,,Executed,IA Executed,Wind,Wind,,,150,,,25
25,withdrawn,2/5/2004,,,,CAISO,CUYAPAIPE WIND POWER PROJECT,,SDGE,san diego,,,CA,CAISO,,Crestwood,6/6/2005,,Feasibility Study,Wind,Wind,,,117,,,26
26,withdrawn,2/12/2004,,,,CAISO,SAN DIEGO WIND #2 - PHASE I,,SDGE,san diego,,,CA,CAISO,,Crestwood,4/1/2006,,Feasibility Study,Wind,Wind,,,36,,,27
27,withdrawn,2/23/2004,,,,CAISO,SOUTH BAY REPLACEMENT - OPTION 1,,SDGE,san diego,,,CA,CAISO,,230/138/69 kV South Bay (650 MW CC),1/1/2010,In Progress,Facility Study,Gas,Gas,,,650,,,28
28,withdrawn,2/25/2004,,,,CAISO,S. F. ELECTRIC RELIABILITY GENERATING PLANT,,PGAE,san francisco,,,CA,CAISO,,Potrero 115 kV Sub,12/1/2006,Executed,IA Executed,Gas,Gas,,,145,,,29
29,withdrawn,3/29/2004,,,,CAISO,GEYSERS WIND PROJECT,,PGAE,lake,sonoma,,CA,CAISO,,Collector Sub at Geysers #17 Fulton 230 kV line,12/1/2006,In Progress,System Impact Study,Wind,Wind,,,201,,,30
30,withdrawn,4/26/2004,,,,CAISO,SAN FRANCISCO AIRPORT ELECTRIC RELIABILITY PLANT,,PGAE,san francisco,,,CA,CAISO,,SF Airport Substation,6/1/2006,Executed,IA Executed,Gas,Gas,,,49,,,31
31,withdrawn,5/11/2004,,,,CAISO,BARREN RIDGE WIND PROJECT,,SCE,kern,,,CA,CAISO,,Monolith Substation,,,System Impact Study,Wind,Wind,,,201,,,32
32,active,5/24/2004,3/23/2011,,,CAISO,TULE WIND,,SDGE,san diego,,,CA,CAISO,Partial Capacity,Boulevard East Substation 138 kV,9/1/2007,Executed,IA Executed,Wind,Wind,,,194,,,33
33,operational,7/12/2004,5/13/2008,,5/30/2006,CAISO,TERRA-GEN DIXIE VALLEY EXPANSION (FKA CAITHNESS DIXIE VALLEY),,SCE,churchill,,,NV,CAISO,,Bishop Control Substation 115 kV,7/14/1988,Executed,IA Executed,Other,Steam Turbine,,,10,,,34
34,withdrawn,7/19/2004,,,,CAISO,BARREN RIDGE II,,SCE,kern,,,CA,CAISO,,Monolith Substation,7/1/2007,,System Impact Study,Wind,Wind,,,300,,,35
35,withdrawn,10/25/2004,,,,CAISO,WELLHEAD POWER FIREBAUGH,,PGAE,fresno,,,CA,CAISO,,115 KV Panoche Sub,5/31/2006,In Progress,Facility Study,Gas,Gas,,,50,,,36
36,withdrawn,11/1/2004,,,,CAISO,WELLHEAD POWER LATHROP,,PGAE,stanislaus,,,CA,CAISO,,115 kV Tesla - Stockton Cogen Trans. Line.,5/31/2006,In Progress,Facility Study,Gas,Gas,,,100,,,37
37,withdrawn,11/8/2004,,,,CAISO,RIPON GENERATION,,PGAE,san joaquin,,,CA,CAISO,,Tesla Substation,1/1/2007,Executed,IA Executed,Gas,Gas,,,75,,,38
39,operational,11/11/2004,1/12/2007,,12/4/2012,CAISO,SHILOH III,,PGAE,solano,,,CA,CAISO,,Birds Landing Switching Station 230kV,,Executed,IA Executed,Wind,Wind,,,200,,,39
40,withdrawn,11/11/2004,,,,CAISO,EASTSHORE ENERGY FACILITY PROJECT,,PGAE,alameda,,,CA,CAISO,,Eastshore Substation,5/1/2007,Executed,IA Executed,Gas,Gas,,,118,,,40
38,operational,11/11/2004,,,9/29/2010,CAISO,HUMBOLDT BAY POWER PLANT REPOWERING PROJECT,,PGAE,humboldt,,,CA,CAISO,,Humboldt Power Plant Substation,8/1/2008,Executed,IA Executed,Gas,Gas,,,146,,,41
41,withdrawn,11/18/2004,,,,CAISO,PASTORIA EXPANSION,,SCE,kern,,,CA,CAISO,,Pastoria Substation,7/31/2006,,Facility Study,Gas,Gas,,,157,,,42
42,withdrawn,11/26/2004,,,,CAISO,WELLHEAD POWER MCCALL,,PGAE,fresno,,,CA,CAISO,,McCall Substation,5/31/2007,Executed,IA Executed,Gas,Gas,,,300,,,43
43,withdrawn,11/29/2004,,,,CAISO,ALBION P3,,PGAE,san joaquin,,,CA,CAISO,,Tesla-Bellota 230 kV line,1/1/2008,In Progress,System Impact Study,Gas,Gas,,,169,,,44
44,withdrawn,11/29/2004,,,,CAISO,LOWLANDS P3,,PGAE,madera,,,CA,CAISO,,Borden Substation 230 kV Bus,1/1/2008,,Facility Study,Gas,Gas,,,127,,,45
47,withdrawn,12/1/2004,,,,CAISO,BULLARD ENERGY CENTER,,PGAE,fresno,,,CA,CAISO,,Herndon - Kearney 230 kV line,6/30/2008,In Progress,Facility Study,Gas,Gas,,,201,,,46
48,withdrawn,12/1/2004,,,,CAISO,BRIDGEVIEW ENERGY FACILITY,,PGAE,contra costa,,,CA,CAISO,,Contra Costa Power Plant 230 kV Substation,1/1/2008,In Progress,Facility Study,Gas,Gas,,,590,,,47
46,withdrawn,12/1/2004,,,,CAISO,EAST ALTAMONT ENERGY CENTER - OPTION 2,,PGAE,contra costa,,,CA,CAISO,,Tesla-Tracy #1 230 kV Line - Tracy Sub,7/31/2006,,Facility Study,Gas,Gas,,,531,,,48
45,operational,12/1/2004,,,8/8/2013,CAISO,RUSSELL CITY ENERGY CENTER,,PGAE,alameda,,,CA,CAISO,,Eastshore Substation 230kV,7/31/2006,Executed,IA Executed,Gas,Gas,,,354,,,49
50,operational,12/21/2004,,,6/7/2010,CAISO,INLAND EMPIRE ENERGY CENTER,,SCE,riverside,,,CA,CAISO,,SCE Valley Substation 500 kV,5/31/2008,Executed,IA Executed,Gas,Gas,,,810,,,50
51,operational,12/21/2004,,,5/30/2006,CAISO,FRESNO COGEN ICE UNIT,,PGAE,fresno,,,CA,CAISO,,Kerman-Helm 70kV line,4/30/2005,Executed,IA Executed,Gas,Gas,,,0.55,,,51
52,operational,12/21/2004,1/10/2008,,5/28/2009,CAISO,PANOCHE ENERGY CENTER,,PGAE,fresno,,,CA,CAISO,,Panoche Substation,6/30/2008,Executed,IA Executed,Gas,Gas,,,401,,,52
53,withdrawn,12/22/2004,,,,CAISO,ROCKLIN PEAKER,,PGAE,placer,,,CA,CAISO,,Pleasant Grove Sub Station,6/1/2008,In Progress,Facility Study,Gas,Gas,,,117,,,53
54,operational,1/12/2005,12/19/2007,,5/4/2009,CAISO,MIDWAY PEAKING AGGREGATE,,PGAE,fresno,,,CA,CAISO,,Panoche Substation,6/1/2008,Executed,IA Executed,Gas,Gas,,,120,,,54
56,withdrawn,1/25/2005,,,,CAISO,COPPER MOUNTAIN PROJECT,,SCE,clark,,,NV,CAISO,,El Dorado 230 kV Substation,6/1/2007,,Facility Study,Gas,Gas,,,634,,,55
57,operational,2/8/2005,12/1/2006,,,CAISO,CPV COLUSA,,PGAE,colusa,,,CA,CAISO,,Between Cottonwood and Vaca-Dixon,1/1/2010,Executed,IA Executed,Gas,Gas,,,715,,,56
58,withdrawn,2/22/2005,,10/11/2013,,CAISO,GREEN BORDERS GEOTHERMAL,,SCE,mineral,,,NV,CAISO,,Control 115kV Substation,10/7/2007,Executed,IA Executed,Other,Steam Turbine,,,62,,,57
60,withdrawn,3/28/2005,,,,CAISO,SOUTH KERN FRONT COGEN,,PGAE,kern,,,CA,CAISO,,Kern Oil Substation 115 kV,3/31/2007,Executed,IA Executed,Gas,Gas,,,94,,,58
59,withdrawn,3/28/2005,,,,CAISO,HENRIETTA II,,PGAE,kings,,,CA,CAISO,,Henrietta Substantion 70 kV,1/1/2008,In Progress,Facility Study,Gas,Gas,,,97,,,59
61,active,3/30/2005,,,,CAISO,FRESNO COGENERATION EXPANSION PROJECT,,PGAE,fresno,,,CA,CAISO,,Helm-Kerman 70 kV Line,5/31/2006,Executed,IA Executed,Other+Battery,Other,,,73,19,,60
62,withdrawn,4/13/2005,,,,CAISO,WELLHEAD POWER HUMBOLDT,,PGAE,humboldt,,,CA,CAISO,,Humboldt Bay-Humboldt #1 115 kV,5/31/2007,,Feasibility Study,Gas,Gas,,,167,,,61
63,withdrawn,4/18/2005,,,,CAISO,WILBUR POWER CC,,PGAE,contra costa,,,CA,CAISO,,Contra Costa (230 kV),1/1/2008,In Progress,System Impact Study,Gas,Gas,,,158,,,62
64,withdrawn,4/28/2005,,,,CAISO,HUMBOLDT ENERGY FACILITY (AGILE ENERGY),,PGAE,humboldt,,,CA,CAISO,,Humboldt Bay Power Plant Sub,5/1/2008,,System Impact Study,Gas,Gas,,,147,,,63
65,withdrawn,5/6/2005,,,,CAISO,LONG BEACH PEAKER PROJECT,,SCE,los angeles,,,CA,CAISO,,Long Beach Gen Station 220kv switchyard,1/1/2007,,Facility Study,Gas,Gas,,,425,,,64
66,operational,5/6/2005,3/8/2007,,3/21/2013,CAISO,WALNUT CREEK ENERGY PARK - PHASE 1,,SCE,los angeles,,,CA,CAISO,,Walnut Substation 220kV,9/1/2007,Executed,IA Executed,Gas,Gas,,,501,,,65
67,operational,5/9/2005,,,8/8/2013,CAISO,RUSSELL CITY ENERGY CENTER EXPANSION,,PGAE,alameda,,,CA,CAISO,,Eastshore Substation 230kV,7/31/2008,Executed,IA Executed,Gas,Gas,,,245,,,66
68,withdrawn,5/11/2005,,,,CAISO,K ROAD CALICO SOLAR LLC (KRCS) (FKA CALICO SOLAR 1; SES SOLAR ONE),,SCE,san bernardino,,,CA,CAISO,,Pisgah Sub 230 kV Bus,,,Facility Study,Solar,Solar,,,850,,,67
69,withdrawn,6/7/2005,,,,CAISO,FONTANA ENERGY CENTER,,SCE,san bernardino,,,CA,CAISO,,Etiwanda 230kV Substation,8/1/2008,,System Impact Study,Gas,Gas,,,527,,,68
70,operational,6/14/2005,12/16/2008,,3/31/2009,CAISO,OX MOUNTAIN LANDFILL GAS GENERATION,,PGAE,san mateo,,,CA,CAISO,,Hillsdale Junction-Half Moon Bay 60 kV line,,Executed,IA Executed,Gas,Gas,,,13,,,69
71,withdrawn,6/15/2005,,,,CAISO,RELIANT ENERGY BIGHORN,,SCE,clark,,,NV,CAISO,,Eldorado 500/230kV Substation,2/28/2007,,Feasibility Study,Gas,Gas,,,591,,,70
72,active,6/21/2005,8/11/2012,,,CAISO,LAKE ELSINORE ADVANCED PUMPED STORAGE PROJECT,,SDGE,riverside,,,CA,CAISO,Full Capacity,Proposed Lee Lake Substation 500 kV,,Executed,IA Executed,Battery,Battery,,,500,,,71
73,operational,6/27/2005,10/14/2011,,7/20/2012,CAISO,PACIFIC WIND,,SCE,kern,,,CA,CAISO,,Whirlwind Sub 230kV Bus,,Executed,IA Executed,Wind,Wind,,,141,,,72
74,operational,7/12/2005,12/19/2007,,,CAISO,HATCHET RIDGE WIND FARM PROJECT,,PGAE,shasta,,,CA,CAISO,,Pit #3-Round Mountain 230kV  Line,,Executed,IA Executed,Wind,Wind,,,102,,,73
76,operational,7/15/2005,,,5/18/2009,CAISO,EL NIDO,,PGAE,merced,,,CA,CAISO,,Merced #1 70 kV circuit,7/1/2006,Executed,IA Executed,Other,Steam Turbine,,,11,,,74
75,operational,7/15/2005,,,5/19/2009,CAISO,CHOWCHILLA BIOMASS,,PGAE,madera,,,CA,CAISO,,Le Grand-Chowcilla 115 kV,,Executed,IA Executed,Other,Steam Turbine,,,11,,,75
77,withdrawn,8/22/2005,,,,CAISO,BARREN RIDGE II ALTERNATIVE,,SCE,kern,,,CA,CAISO,Full Capacity,TBD Bakersfield,,,Feasibility Study,Wind,Wind,,,300,,,76
78,withdrawn,8/31/2005,,,,CAISO,SES SOLAR TWO),,SDGE,imperial,,,CA,CAISO,,Imperial Valley Sub 230kV Bus,,,Facility Study,Solar,Solar,,,300,,,77
80,withdrawn,9/12/2005,,,,CAISO,VERNON POWER PLANT,,SCE,los angeles,,,CA,CAISO,,Laguna Bell Sub 230 kV Bus,7/31/2008,,Facility Study,Gas,Gas,,,610,,,78
81,active,9/13/2005,11/16/2006,,,CAISO,BOTTLE ROCK POWER,,PGAE,lake,,,CA,CAISO,Energy Only,Geysers #17-Fulton 230 kV Line,9/1/2006,Executed,IA Executed,Other+Battery,Other,,,9.4,47,,79
82,withdrawn,9/14/2005,,,,CAISO,PALCO,,PGAE,humboldt,,,CA,CAISO,,Rio Dell Substation 60kV,1/1/2006,,System Impact Study,Other,Steam Turbine,,,6.8,,,80
83,withdrawn,9/16/2005,,,,CAISO,WEST FRY WIND ENERGY PROJECT,,SCE,san bernardino,,,CA,CAISO,,Lugo-Pisgah No. 2 230 kV tran line,,,System Impact Study,Wind,Wind,,,60,,,81
84,operational,12/1/2005,2/19/2014,,11/9/2019,CAISO,AVALON HYBRID,,SCE,kern,,,CA,CAISO,Full Capacity,Whirlwind Sub 230kV Bus,,Executed,IA Executed,Solar,Solar,,,100,,,81
85,withdrawn,12/28/2005,,,,CAISO,WINDSTAR I,,SCE,kern,,,CA,CAISO,,Segment 3 230 Collector Loop Tehachapi,,,System Impact Study,Wind,Wind,,,120,,,81
86B,withdrawn,1/20/2006,,,,CAISO,CAITHNESS RIDGETOP WIND REPOWER,,SCE,kern,,,CA,CAISO,,Canwind Substation 66kV,1/1/2008,,Facility Study,Wind,Wind,,,34,,,82
86A,withdrawn,1/20/2006,,,,CAISO,CAITHNESS 251 WIND REPOWER,,SCE,kern,,,CA,CAISO,,Vincent Substation,1/1/2008,,Facility Study,Wind,Wind,,,33,,,83
87,withdrawn,2/3/2006,,12/14/2010,,CAISO,DIABLO CANYON P.P. #1 UNIT,,PGAE,san luis obispo,,,CA,CAISO,Full Capacity,Diablo Canyon Substation Circuit Breakers 532 and 632,12/8/2005,,Feasibility Study,Other,Steam Turbine,,,28,,,84
88,withdrawn,2/10/2006,,,,CAISO,CARSON HYDROGEN POWER PROJECT (CHPP),,SCE,los angeles,,,CA,CAISO,,Hinson Sub 230 kV bus,7/1/2011,,System Impact Study,Gas,Gas,,,614,,,85
89,withdrawn,2/13/2006,,,,CAISO,VICTORVILLE 2,,SCE,san bernardino,,,CA,CAISO,,Victorville Substation,7/1/2009,,Facility Study,Gas,Gas,,,570,,,86
90,withdrawn,2/16/2006,,10/26/2009,,CAISO,MMC CHULA VISTA EXPANSION,,SDGE,san diego,,,CA,CAISO,,Existing radial 69kV gen-tie line to TL6929,6/1/2007,,Facility Study,Gas,Gas,,,93,,,87
92,withdrawn,2/23/2006,,,,CAISO,PALMDALE POWER PLANT,,SCE,los angeles,,,CA,CAISO,Full Capacity,Vincent Sub 230 kV Bus,7/1/2009,Executed,IA Executed,Gas,Gas,,,570,,,88
94,withdrawn,3/1/2006,,,,CAISO,ALTA Q94 (FKA LEHIGH),,SCE,kern,,,CA,CAISO,,Highwind Sub 220kV Bus,,,Facility Study,Wind,Wind,,,180,,,89
96,operational,3/1/2006,2/24/2010,,,CAISO,CPC WEST,,SCE,kern,,,CA,CAISO,,Tehachapi Conceptual Substation #1,,Executed,IA Executed,Wind,Wind,,,600,,,90
95,operational,3/1/2006,4/19/2010,,2/14/2012,CAISO,CPC EAST,,SCE,kern,,,CA,CAISO,,Windhub Substation 220kV bus,,Executed,IA Executed,Wind,Wind,,,550,,,91
93,operational,3/1/2006,,,4/26/2021,CAISO,VOYAGER WIND,,SCE,kern,,,CA,CAISO,Full Capacity,Windhub Substation 220kV bus,,Executed,IA Executed,Wind,Wind,,,220,,,92
97,withdrawn,3/1/2006,,,,CAISO,ALTA Q97 (FKA ALTA 5 AND LUCCHESE),,SCE,kern,,,CA,CAISO,,Whirlwind Sub 220kV bus,,,Facility Study,Wind,Wind,,,160,,,93
98,operational,3/9/2006,,,,CAISO,DIABLO CANYON P.P. UNIT 1,,PGAE,san luis obispo,,,CA,CAISO,Full Capacity,Diablo Canyon Substation Cirvuit Breakers 532 and 632,12/8/2005,,System Impact Study,Other,Steam Turbine,,,37,,,94
99,operational,3/29/2006,,,6/7/2006,CAISO,DIABLO CANYON P.P. UNIT 2,,PGAE,san luis obispo,,,CA,CAISO,,Diablo Canyon Substation Circuit Breakers 542 and 642,6/8/2006,,Operational,Other,Steam Turbine,,,45,,,95
100,active,4/5/2006,10/19/2009,,,CAISO,WINDSTAR I ALTERNATE,,SCE,kern,,,CA,CAISO,,Vincent Substation 230kV,,Executed,IA Executed,Wind+Battery,Wind,Battery,,120,120,,95
101,withdrawn,4/7/2006,,,,CAISO,RMU PLANT,,PGAE,kern,,,CA,CAISO,,PG&E Kern Oil-Vedder 115kV line,3/1/2008,,Feasibility Study,Gas,Gas,,,100,,,96
102,withdrawn,4/19/2006,,,,CAISO,WILDHORSE,,PGAE,monterey,,,CA,CAISO,,Coburn Sub 230 kV Bus,,,Facility Study,Wind,Wind,,,210,,,97
102A,withdrawn,4/21/2006,,,,CAISO,LOMPOC WIND PROJECT II,,PGAE,kern,,,CA,CAISO,,Cabrill0-Divide 115kV,,,Feasibility Study,Wind,Wind,,,100,,,98
103,withdrawn,5/2/2006,,12/22/2016,,CAISO,BME OTAY MESA BIOMASS FACILITY,,SDGE,san diego,,,CA,CAISO,,Border Substation 69 kV,12/1/2008,Executed,IA Executed,Other,Steam Turbine,,,27,,,99
104,withdrawn,5/3/2006,,,,CAISO,VERNON POWER PLANT EXPANSION PROJECT,,SCE,los angeles,,,CA,CAISO,,Laguna Bell Sub 230 kV Bus,7/31/2009,,Facility Study,Gas,Gas,,,304,,,100
105,withdrawn,5/4/2006,,,,CAISO,BEAR RIVER WIND FARM,,PGAE,humboldt,,,CA,CAISO,,Between Rio Del Junction and Bridgeville,,,Feasibility Study,Wind,Wind,,,100,,,101
106,withdrawn,5/26/2006,,10/13/2008,,CAISO,MOJAVE SOLAR PARK 1,,SCE,san bernardino,,,CA,CAISO,,Mohave 500 kV Switchyard,,,Feasibility Study,Other,Steam Turbine,,,635,,,102
106A,withdrawn,6/6/2006,,,,CAISO,TECATE HYBRID,,SDGE,san diego,,,CA,CAISO,Full Capacity,Boulevard East Substation 138kV,6/30/2008,Executed,IA Executed,Solar+Battery,Solar,Battery,,50,50,,102
108,operational,6/9/2006,12/16/2008,,3/4/2012,CAISO,SOLANO WIND PROJECT - PHASE 3 (230KV),,PGAE,solano,,,CA,CAISO,,Lambie-Contra Costa 230 kV,3/1/2011,Executed,IA Executed,Wind,Wind,,,128,,,102
107,withdrawn,6/9/2006,,,,CAISO,SOLANO WIND PROJECT - PHASE 3 (115KV),,PGAE,solano,,,CA,CAISO,,Brighton-Contra Costa 115 kV,3/1/2011,,Feasibility Study,Wind,Wind,,,128,,,102
108A,withdrawn,6/14/2006,,11/16/2006,,CAISO,SAN LUIS OBISPO SOLAR I,,PGAE,kern,,,CA,CAISO,,Morro Bay - Midway 230kV line,3/1/2010,,Feasibility Study,Other,Steam Turbine,,,300,,,103
110,withdrawn,6/16/2006,,,,CAISO,SES SOLAR SIX,,SCE,san bernardino,,,CA,CAISO,,Pisgah Substation,3/1/2013,,Feasibility Study,Solar,Solar,,,1400,,,104
109,withdrawn,6/16/2006,,,,CAISO,SES SOLAR THREE,,SCE,san bernardino,,,CA,CAISO,,Pisgah Substation,3/1/2011,,Feasibility Study,Solar,Solar,,,550,,,105
111,withdrawn,6/26/2006,,,,CAISO,LIBERTY V LOST HILLS,,PGAE,kern,,,CA,CAISO,,Tap of Chevron 70kv tran line,8/31/2009,Executed,IA Executed,Other,Steam Turbine,,,16,,,106
112,withdrawn,6/28/2006,,,,CAISO,TULE II,,SDGE,san diego,,,CA,CAISO,,500 kV Imperial Valley-Miguel trans line,,,System Impact Study,Wind,Wind,,,300,,,107
113,withdrawn,6/30/2006,,10/24/2014,,CAISO,COLLINSVILLE WIND,,PGAE,solano,,,CA,CAISO,,Birds Landing Switching Station 230kV bus,4/3/2009,Executed,IA Executed,Wind,Wind,,,30,,,108
115,withdrawn,7/12/2006,,11/26/2008,,CAISO,UPC GRAND VIEW WINDS,,SCE,san bernardino,,,CA,CAISO,,Lugo-Pisgah 230kV line,7/1/2008,,Feasibility Study,Wind,Wind,,,150,,,109
114,withdrawn,7/12/2006,,11/26/2008,,CAISO,MOJAVE WINDS,,SCE,san bernardino,,,CA,CAISO,,Victor 230 kV,7/1/2008,,Feasibility Study,Wind,Wind,,,150,,,110
116,withdrawn,7/12/2006,,11/26/2008,,CAISO,INDIGO WINDS,,SCE,san bernardino,,,CA,CAISO,,Lugo-Pisgah 230kV line,7/1/2008,,Feasibility Study,Wind,Wind,,,50,,,111
117,withdrawn,7/20/2006,,,,CAISO,BEAR RIVER WIND FARM Q=117,,PGAE,humboldt,,,CA,CAISO,,Rio Del Junction - Bridgeville,,,Feasibility Study,Wind,Wind,,,70,,,112
118,withdrawn,8/4/2006,,11/28/2007,,CAISO,SOUTH POINT ENERGY CENTER,,SCE,mohave,,,AZ,CAISO,,SCE Mohave Substation,1/8/2009,,Feasibility Study,Gas,Gas,,,550,,,113
119,operational,8/8/2006,,,4/26/2021,CAISO,VOYAGER WIND 2,,SCE,kern,,,CA,CAISO,Full Capacity,Windhub Sub 230kV Bus,,Executed,IA Executed,Wind,Wind,,,500,,,114
120,withdrawn,8/9/2006,,11/26/2008,,CAISO,SES SOLAR SEVEN,,SCE,san bernardino,,,CA,CAISO,,Mojave 500 kV Switchyard,3/1/2011,,Feasibility Study,Solar,Solar,,,1200,,,115
122,withdrawn,8/17/2006,,,,CAISO,MARGARITA ENERGY CENTER,,SDGE,orange,,,CA,CAISO,,SDG&E Margarita Substation,3/31/2009,,Feasibility Study,Gas,Gas,,,99,,,116
123,withdrawn,8/17/2006,,,,CAISO,PALA ENERGY CENTER,,SDGE,san diego,,,CA,CAISO,,SDG&E Pala Substation,3/31/2009,,Feasibility Study,Gas,Gas,,,99,,,117
121,operational,8/17/2006,8/25/2008,,8/7/2009,CAISO,MIRAMAR ENERGY FACILITY II,,SDGE,san diego,,,CA,CAISO,,Miramar GT Substation 69 kV,3/31/2009,Executed,IA Executed,Gas,Gas,,,49,,,118
